794	903
2463	3628	683
2426	3641	664
2404	3641	646
2382	3652	626
2347	3632	606
2310	3644	594
2290	3635	565
2241	3650	590
2235	3631	602
2210	3632	613
2163	3630	626
2135	3647	636
2098	3623	647
2064	3638	656
2038	3647	665
2001	3627	674
1974	3635	680
1938	3639	685
1902	3638	688
1865	3646	691
1838	3637	694
1825	3632	695
1783	3635	693
1738	3626	691
1719	3621	689
1713	3629	684
1665	3633	678
1610	3650	672
1607	3634	664
1569	3659	655
1539	3624	645
1514	3643	634
1479	3636	622
1457	3619	609
1414	3662	596
1383	3634	583
1352	3643	569
1328	3633	559
1300	3641	539
1242	3644	562
1235	3632	578
1211	3641	591
1208	3649	605
1170	3629	617
1134	3643	631
1108	3645	642
1066	3652	652
1046	3640	662
1015	3636	669
985	3632	677
955	3652	684
947	3643	690
918	3636	694
864	3631	697
851	3648	699
827	3643	701
816	3637	701
766	3644	699
740	3647	697
705	3639	693
678	3621	689
672	3640	683
630	3632	676
598	3632	669
564	3622	660
537	3647	650
526	3630	639
461	3645	627
456	3649	613
430	3639	600
397	3640	588
353	3636	574
331	3637	559
315	3643	544
284	3644	530
240	3627	538
204	3635	510
178	3624	525
158	3637	534
124	3654	543
94	3625	551
74	3653	559
47	3651	566
29	3631	572
4078	3640	577
4061	3652	582
4009	3621	586
3979	3629	590
3959	3645	592
3920	3667	593
3897	3627	594
3857	3640	594
3840	3653	593
3795	3615	590
3781	3633	587
3727	3631	585
3715	3629	579
3705	3647	574
3662	3653	569
3640	3623	562
3596	3607	843
3572	3644	546
3534	3646	537
3521	3640	535
3492	3628	530
3432	3630	563
3429	3636	584
3384	3626	603
3360	3645	620
3330	3637	643
3289	3649	661
3277	3621	677
3239	3622	696
3221	3649	714
3202	3615	727
3141	3646	744
3127	3632	758
3084	3653	769
3073	3639	783
3041	3622	793
3011	3652	801
2965	3646	808
2932	3633	810
2928	3653	814
2885	3647	816
2875	3637	815
2835	3628	814
2818	3639	812
2758	3638	807
2733	3636	800
2720	3643	795
2682	3648	784
2659	3629	776
2631	3650	762
2582	3646	748
2568	3623	733
2529	3638	718
2489	3622	702
2465	3644	686
2433	3628	667
2422	3625	650
2376	3643	631
2344	3638	608
2327	3640	589
2281	3627	571
2255	3636	585
2233	3630	598
2196	3629	610
2175	3634	622
2152	3641	634
2109	3624	644
2083	3619	654
2038	3638	664
2016	3638	671
1988	3666	678
1941	3629	684
1905	3640	687
1880	3632	692
1855	3601	692
1815	3590	689
1806	3585	684
1765	3584	679
1716	3570	673
1710	3558	666
1683	3538	659
1655	3565	651
1626	3564	643
1573	3543	634
1557	3541	626
1529	3539	616
1483	3543	605
1446	3542	593
1422	3536	581
1399	3535	569
1385	3542	556
1326	3547	544
1314	3543	535
1279	3547	539
1249	3537	555
1219	3533	568
1200	3546	580
1173	3543	591
1151	3553	602
1136	3541	613
1087	3552	623
1072	3521	632
1016	3538	640
1009	3526	647
966	3547	654
935	3539	660
904	3548	664
869	3547	667
873	3526	670
831	3532	671
811	3548	672
791	3552	670
756	3525	668
720	3530	667
685	3532	663
655	3530	658
640	3529	651
620	3547	646
573	3536	638
541	3543	627
514	3532	618
495	3555	610
467	3546	597
434	3540	585
393	3549	575
382	3542	561
355	3536	547
311	3553	535
293	3529	523
263	3526	508
223	3524	494
197	3534	504
177	3551	513
157	3532	521
121	3515	528
90	3551	534
54	3524	541
32	3559	549
4081	3543	554
4061	3511	558
4047	3555	563
4020	3536	566
3971	3540	568
3933	3536	570
3914	3540	571
3894	3537	572
3874	3526	571
3841	3550	570
3790	3532	568
3783	3527	565
3737	3537	562
3715	3544	557
3693	3547	553
3661	3533	547
3640	3557	541
3578	3548	535
3550	3524	527
3524	3544	520
3487	3537	511
3472	3550	531
3451	3533	537
3424	3535	562
3408	3549	578
3369	3534	593
3328	3538	617
3299	3544	633
3265	3543	647
3244	3545	665
3212	3557	680
3189	3534	693
3159	3529	707
3145	3525	720
3098	3559	732
3065	3547	742
3046	3548	751
3012	3553	759
2980	3554	765
2940	3540	771
2929	3551	770
2905	3537	771
2863	3545	774
2843	3551	773
2838	3558	772
2791	3548	768
2748	3523	762
2725	3525	757
2695	3518	749
2663	3543	740
2638	3552	731
2608	3528	718
2577	3531	703
2532	3541	690
2523	3527	677
2498	3539	662
2461	3562	645
2425	3523	630
2402	3525	613
2357	3541	596
2334	3530	574
2305	3543	567
2272	3554	561
2236	3544	575
2209	3537	585
2192	3541	597
2164	3557	607
2114	3556	617
2093	3548	627
2056	3557	635
2029	3537	643
1991	3544	649
1957	3528	654
1924	3548	660
1908	3537	663
1864	3548	666
1841	3526	667
1829	3516	667

1789	3528	667
1751	3546	664
1714	3526	660
1683	3534	656
1649	3529	651
1621	3522	644
1586	3501	632
1554	3509	620
1523	3472	606
1500	3475	594
1461	3454	580
1421	3460	567
1403	3442	820
1387	3425	542
1356	3435	533
1308	3439	540
1295	3424	503
1243	3432	534
1232	3433	547
1213	3421	549
1179	3439	561
1157	3436	573
1121	3417	582
1117	3416	591
1054	3441	599
1031	3441	606
1019	3454	614
988	3424	620
954	3439	625
905	3423	629
889	3421	633
864	3424	635
834	3427	636
833	3444	637
792	3432	636
755	3430	635
743	3453	633
693	3433	631
685	3432	626
653	3431	620
614	3426	615
595	3418	609
558	3437	600
547	3451	592
505	3437	583
479	3427	573
457	3422	563
407	3437	552
391	3432	541
354	3422	531
337	3439	520
301	3439	512
267	3423	513
237	3419	512
195	3430	513
167	3421	510
178	3433	514
137	3430	515
110	3420	514
72	3437	516
49	3418	522
32	3428	528
4086	3430	532
4035	3440	536
4013	3439	539
3981	3435	542
3975	3425	544
3937	3438	546
